url,source,crawl_date,company_name,company_position,company_size,job_detail_name,job_detail_full_time,job_detail_remote,job_detail_hybrid,job_detail_job_requirements_line,job_detail_year_of_exp,job_detail_job_level
https://topdev.vn/viec-lam/specialist-supervisor-java-software-engineer-chubb-life-vietnam-2032704,TopDev,2024-04-18 11:11:32,Chubb Life Vietnam,"Head Office at: Tầng 21, Sun Wah Tower, 115 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",500-999,"Specialist/ Supervisor, Java Software Engineer",False,False,False,"['Bachelor degree in IT/ Computer science', 'From 3 years experience in Java/ Java EE', 'Proficient in Spring Ecosystem, such as: Spring Boot, Spring Security, Spring Batch is a plus', 'Knowledge of Jasper/ Crystal report, iReport or report generating/developing tools', 'Experience in Restful API development Javascript, Typescript, HTML5, SASS/ CSS3, Angular framework and responsive design', 'Experience working in insurance industry is a plus', 'Nice to have if possess experience in mobile cross platform development, CI/ CD tools and Cloud services']",['From 3 years experience in Java/ Java EE'],[]
https://topdev.vn/viec-lam/ux-ui-designer-ts030601-ux-ui-talent-success-2032923,TopDev,2024-04-18 11:11:47,Talent Success,"Hà Nội, Thành phố Hà Nội",25-99,UX/UI Designer_TS030601-UX/UI,False,False,False,"['Có ít nhất 2 năm kinh nghiệm làm UX/UI cho game mobile', 'Hiểu biết sâu về nguyên tắc thiết kế giao diện người dùng (UI) và trải nghiệm người dùng (UX)', 'Có khả năng tạo ra giao diện người dùng thẩm mỹ, dễ sử dụng và tương tác trên nhiều nền tảng, từ điện thoại di động đến máy tính và các thiết bị cầm tay khác', 'Hiểu rõ về quy trình phát triển game và cách vận hành của các khâu sản xuất', 'Thành thạo Photoshop, biết sử dụng Figma là một lợi thế', 'Thẩm mỹ tốt, hiểu biết bố cục màu sắc, mảng, khối', 'Có khả năng phân tích dữ liệu và phản hồi từ người chơi để hiểu và đáp ứng nhu cầu của họ', 'Có khả năng giao tiếp mạch lạc và hiệu quả với các thành viên trong đội phát triển game, từ nhà thiết kế đến lập trình viên và quản lý dự án', 'Nhiệt tình và có trách nhiệm trong công việc', 'Có kinh nghiệm ở vị trí Graphic Design là 1 lợi thế']",['Có ít nhất 2 năm kinh nghiệm làm UX/UI cho game mobile'],[]
https://topdev.vn/viec-lam/it-senior-project-manager-ngan-hang-a-chau-acb-2032715,TopDev,2024-04-18 11:11:50,NGÂN HÀNG Á CHÂU (ACB),"444 Cách Mạng Tháng Tám, Phường 11, Quận 3, Thành phố Hồ Chí Minh",Hơn 1000,IT - Senior Project Manager,False,False,False,"['At least 5 years’ experience leading IT projects and 2 years’ experience leading IT programs; works as Product Manager / Tech lead in focused on product and business operations/processes preferred.', 'Experienced in leveraging structured project management methodology to lead project teams; including both Scrum Master and Agile Master.', 'Demonstrated ability delivering highly programs/ complex projects on time, on budget and with expected scope at a high level of quality', 'Proven Track Record in successfully delivering complex projects in a matrixed environment', 'Proficient Verbal and Written Communication capabilities in English and Vietnamese required', 'Proven leadership, initiative and strong partnership building required', 'Strong stakeholder management & negotiation skills required', 'Ability to understand the ""big picture"" and to apply advanced knowledge of program/project management methodology, best practices, tools and processes', 'Experience with program/projects in multiple technologies and functions.', 'Skilled in the use of Microsoft Project and Jira', 'Nice to have PMP certification', 'Bachelors degree']",['At least 5 years’ experience leading IT projects and 2 years’ experience leading IT programs; works as Product Manager / Tech lead in focused on product and business operations/processes preferred.'],['senior']
https://topdev.vn/viec-lam/ho-it-business-analyst-ngan-hang-a-chau-acb-2032716,TopDev,2024-04-18 11:11:58,NGÂN HÀNG Á CHÂU (ACB),"444 Cách Mạng Tháng Tám, Phường 11, Quận 3, Thành phố Hồ Chí Minh",Hơn 1000,HO - IT Business Analyst,False,False,False,"[""Bachelor's degree preferably in Computer Science or Business Information System"", 'Obtaining IT knowledge-base', 'Fluent in English and Vietnamese to be able to communicate directly with customers', 'At least 3 years of working experience of which 2 years in analyzing requirements', 'Basic experience in programming languages', 'Basic knowledge of databases such as database schema and simple SQL query', 'Knowledge of testing approaches and techniques', 'General understanding and experience of business processes as well as an interest in understanding a broad range of business models and needs']",['At least 3 years of working experience of which 2 years in analyzing requirements'],[]
https://topdev.vn/viec-lam/it-network-solution-architect-ngan-hang-a-chau-acb-2032713,TopDev,2024-04-18 11:12:01,NGÂN HÀNG Á CHÂU (ACB),"444 Cách Mạng Tháng Tám, Phường 11, Quận 3, Thành phố Hồ Chí Minh",Hơn 1000,IT - Network Solution Architect,False,False,False,"['As the Network Solution Architect, you are expected to have:', 'CCIE certifications in Enterprise, Data Centre or Security are highly preferred. Openstack, VCP, RedHat Certification is a plus', 'Understanding of Cisco Software Defined Access architecture and solution. Practical experience in design, test, implement of SDA and Wireless solutions', 'Understanding of Cisco SD-WAN architecture and solution. Practical experience in design, test, implement of SD-WAN solutions', 'Understanding of Data Center architectures, including virtualization, experience in planning, design & implementation of Data Center infrastructure.', 'Strong knowledge on DNAC, Wireless, ISE with hands on experience', 'Good Knowledge on SDN and NFV based solution, Service Orchestration.', 'Rich design and hands on experience on ACI technology with Multi-POD, Multi-Site', 'Hands on experience with Nexus Product Family (N9K, N7K, N5K, N2K), and Vxlan, DCI, OTV technologies, as well as Catalyst series switches (2960/3560/3750/4500/6500/6800, etc)', 'Familiar with the following technology: STP, HSRP, IGP/EGP routing protocols, MPLS, BGP, high availability, network/device security, netflow, QoS, IP SLA, network management.', 'Strong knowledge and experience on Java, Linux, Python, Virtualization, OpenStack, Kubernetes, Container.', 'Public / Private Cloud experience and knowledge is a plus', 'Excellent communication & interpersonal skills, Effective consulting and communication skills', 'Demonstrated industry awareness, especially in finance/banking sector', 'Excellent analytical, strategic conceptual thinking, strategic planning and execution skills']",[],[]
https://topdev.vn/viec-lam/ho-data-lake-developer-ngan-hang-a-chau-acb-2032718,TopDev,2024-04-18 11:12:07,NGÂN HÀNG Á CHÂU (ACB),"442 Nguyễn Thị Minh Khai, Phường 05, Quận 3, Thành phố Hồ Chí Minh",Hơn 1000,HO - Data Lake Developer,False,False,False,"['1. Educational Qualifications', 'Bachelor Degree in Information Technology/Data Management/Big Data/ Information system.', '2. Relevant Knowledge/ Expertise', 'At least 3 years experience in any following data analysis programming languages: Python, R, Java, Scalar, Spark is a must. Knowledgeable in at least any web programming languages is a big plus', 'Experience in multinational project, cross-functional engineering teams is a plus.', '3. Skills', 'Ability of reading, understanding IT materials in English', 'Ability of communicating in English. IELTS 6.5 and above, or TOEIC 700 and above is a plus', 'Good in thinking, observing and analytics', 'Ability of presenting idea to non-technical people', 'Flexibility, and adaptability in this fast-growing environment', 'Knowledgeable about anything of finance, accounting, business, e-commerce, insurance, securities is preferred.', '4. Relevant Experiences', '2+ years of overall IT experience including the following:', 'Experience in evolving/managing technologies/tools in a rapidly changing environment to support business needs and capabilities', 'Experience with backend microservice, Cloud Computing such as Google, AWS  and big data projects in financial industry is a plus', '5. Personal Characteristics', 'Hard-working, proactive, creative, and patient', 'High compliance and paying attention to detail.', 'Willing to learn more, adapt quickly to new things (because the process, management requirements, technology, ...change frequently)']","['At least 3 years experience in any following data analysis programming languages: Python, R, Java, Scalar, Spark is a must. Knowledgeable in at least any web programming languages is a big plus', '2+ years of overall IT experience including the following:']",[]
https://topdev.vn/viec-lam/it-security-architect-ngan-hang-a-chau-acb-2032711,TopDev,2024-04-18 11:12:10,NGÂN HÀNG Á CHÂU (ACB),"444 Cách Mạng Tháng Tám, Phường 11, Quận 3, Thành phố Hồ Chí Minh",Hơn 1000,IT - Security Architect,False,False,False,"['As the Zero Trust Architect, you are expected to have:', 'Strong knowledge and hands-on experience in designing and managing large network infrastructure, including software-defined networking.', 'Strong knowledge and hands-on experience in different cyber security domains/major vendors: identity, network, endpoint, workload, virtualization, security monitoring, etc.', 'Strong knowledge and hands-on experience in the area of automation, including Ansible, Terraform, etc.', 'Strong experience in deploying seamless network segmentation projects.', 'Strong knowledge and experience in public and private cloud infrastructures: virtualization, containers, Kubernetes, and optionally Serverless.', 'Sufficient knowledge and experience in Python.', 'Knowledge and experience in applying DevSecOps concepts.', 'Qualifications:', 'Bachelor‘s degree in Computer Science, Information Technology, or a related field', '8+ years of experience in cybersecurity', '5+ years of experience in designing and implementing security architectures', 'Excellent communication and presentation skills', 'Ability to work independently and as part of a team', 'Cisco Certified Network Professional (CCNP) Security or Enterprise']","['8+ years of experience in cybersecurity', '5+ years of experience in designing and implementing security architectures']",[]
https://topdev.vn/viec-lam/it-devops-engineer-ngan-hang-a-chau-acb-2032717,TopDev,2024-04-18 11:12:13,NGÂN HÀNG Á CHÂU (ACB),"444 Cách Mạng Tháng Tám, Phường 11, Quận 3, Thành phố Hồ Chí Minh",Hơn 1000,IT - DevOps Engineer,False,False,False,"['BS/MS degree in computer science, software engineering, or a related technical field;', 'Knowledge of Azure/AWS is a big plus;', '2+ years of experience in DevOps;', 'Good understanding of software development and operation;', 'Experience in Docker, Kubernetes, Kafka, RabitMQ, ActiveMQ, Jira, Confluence,', 'GitLab, Kong, NginX, ELK, Graylogs …;', 'Experience in SQL and NoSQL databases, such as Oracle, PostgreSQL, Couchbase;', 'Knowledge of Keycloak/Redhat SSO is a big plus;', 'Understanding of CI/CD pipeline;', 'Experience in agile development teams, such as Scrum, Kanban;', 'Interested in dealing with technical challenges and keen on exploring new things;', 'Good problem-solving skills and teamwork spirit;', 'Strong communication skills to effectively collaborate with other developers and stakeholders;']",['2+ years of experience in DevOps;'],[]
https://topdev.vn/viec-lam/chuyen-vien-tu-van-giai-phap-front-end-back-end-flutter-cong-ty-co-phan-giai-phap-cong-nghe-hctech-2032745,TopDev,2024-04-18 11:12:16,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ HCTECH,"56 Trần Phú, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương",25-99,Chuyên Viên Tư Vấn Giải Pháp - Front end/ Back end (Flutter),False,False,False,"['HCTECH đã và đang mở rộng kinh doanh trên 63 tỉnh thành. Ưu tiên ứng viên có thể linh động nơi làm việc.', 'Hiểu và nắm rõ về quy trình lập và quản lý đầu tư dự án ứng dụng Công Nghệ Thông Tin theo các quy định của nhà nước.', 'Có kinh nghiệm xây dựng tài liệu báo cáo nghiên cứu khả thi, báo cáo kinh tế kỹ thuật, đề cương và dự toán chi tiết, thiết kế chi tiết và dự toán.', 'Có khả năng trình bày, thuyết trình, thuyết phục khách hàng.', 'Nắm bắt được xu hướng phát triển về công nghệ/giải pháp và các ứng dụng Công Nghệ Thông Tin.', 'Hiểu biết về nghiệp vụ khách hàng và nghiệp vụ liên quan đến sản phẩm Công Nghệ Thông Tin', 'Khả năng tư vấn giải pháp, lựa chọn giải pháp kỹ thuật phù hợp với nhu cầu của khách hàng.', 'Khả năng tìm hiểu, nghiên cứu, phân tích so sánh, đánh giá sản phẩm, giải pháp Công Nghệ Thông Tin.']",[],[]
https://topdev.vn/viec-lam/di5-senior-java-developer-msb-dxd-1y535-ngan-hang-tmcp-hang-hai-viet-nam-msb-2032714,TopDev,2024-04-18 11:12:19,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",Hơn 1000,[DI5] Senior Java Developer - MSB - DXD - 1Y535,False,False,False,"['Thành thạo Java Core, các framework Java như EE, Spring, Hibernate ... và một số design pattern thông dụng', 'Tư duy về thiết kế hướng đối tượng và nắm vững kiến thức về cấu trúc dữ liệu và giải thuật, lập trình hướng đối tượng ...', 'Thành thạo SQL, PLSQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL, noSQL, có khả năng tối ưu CSDL', 'Ưu tiên có hiểu biết về nghiệp vụ tài chính, banking, có kinh nghiệm về microservices, ham học hỏi tìm tòi sáng tạo cái mới', 'Ưu tiên các ứng viên đã từng triển khai sản phẩm lên AWS', 'Ưu tiên các ứng viên đã từng sử dụng 1 số AWS products (AppSync, Batch, Lambda, EMR, Lake Formation, Glue, Fargate, API gateway, DynamoDB, ...) và 1 vài AWS components cho security, API and storage )', 'Ưu tiên các ứng viên sử dụng thành thạo Bitbucket, Jenkins, AWS CodePipeline', 'Ưu tiên ứng viên có kinh nghiệm làm việc theo mô hình Agile/Scrum']",[],['senior']
